OTU_ID	TMCSGendoF10	TMCSGendoF11	TMCSGendoF12	TMCSGendoF1	TMCSGendoF2	TMCSGendoF3	TMCSGendoF4	TMCSGendoF5	TMCSGendoF6	TMCSGendoF7	TMCSGendoF8	TMCSGendoF9	TMCSGendoG10	TMCSGendoG11	TMCSGendoG12	TMCSGendoG1	TMCSGendoG2	TMCSGendoG3	TMCSGendoG4	TMCSGendoG5	TMCSGendoG6	TMCSGendoG7	TMCSGendoG8	TMCSGendoG9	TMCSGendoJ10	TMCSGendoJ11	TMCSGendoJ12	TMCSGendoJ1	TMCSGendoJ2	TMCSGendoJ3	TMCSGendoJ4	TMCSGendoJ5	TMCSGendoJ6	TMCSGendoJ7	TMCSGendoJ8	TMCSGendoJ9	TMCSGendoK10	TMCSGendoK11	TMCSGendoK12	TMCSGendoK1	TMCSGendoK2	TMCSGendoK3	TMCSGendoK4	TMCSGendoK5	TMCSGendoK6	TMCSGendoK7	TMCSGendoK8	TMCSGendoK9
518380	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1119166	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
151855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
547926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262768	0	45	14	2	0	0	45	3	0	16	0	0	0	0	3	0	0	2	37	3	4	10	0	3	11	54	46	0	0	0	16	0	6	0	15	1	0	0	3	9	26	8	0	2	13	19	7	7
254401	69	0	15	0	0	1	3	8	0	15	11	5	0	4	13	1	0	0	2	14	0	17	62	4	4	7	6	0	0	0	10	6	1	3	5	2	2	0	0	1	1	3	0	2	4	6	0	10
4187380	5	1	20	1	1	0	0	19	0	2	1	3	0	4	11	0	0	5	8	9	0	21	0	17	32	22	14	3	0	0	7	22	106	0	26	4	4	0	8	41	31	19	87	7	0	4	1	15
319907	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
811263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511873	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0
250522	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0
346056	0	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
